[2Kclient-25  | 2024-05-27 14:42:44,113 original-squirrel INFO: Received INIT commat at [4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 3.
[2Kclient-25  | 2024-05-27 14:42:48,560 original-squirrel INFO: Received START command at [30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
[2Kclient-25  | 2024-05-27 14:42:48,560 original-squirrel INFO: Waiting 6.415368106635643s to send result 45.
[2Kclient-25  | 2024-05-27 14:42:54,983 original-squirrel INFO: Sending result 45
[2Kclient-25  | 2024-05-27 14:43:00,595 original-squirrel INFO: Received START command at [59,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
[2Kclient-25  | 2024-05-27 14:43:00,596 original-squirrel INFO: Waiting 9.788618402300727s to send result 63.
[2Kclient-25  | 2024-05-27 14:43:10,396 original-squirrel INFO: Sending result 63
[2Kclient-25  | 2024-05-27 14:43:12,635 original-squirrel INFO: Received START command at [67,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
[2Kclient-25  | 2024-05-27 14:43:12,635 original-squirrel INFO: Waiting 8.038119162163706s to send result 23.
[2Kclient-38  | 2024-05-27 14:42:49,337 hot-inchworm INFO: Received INIT commat at [35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 33.
[2Kclient-31  | 2024-05-27 14:42:46,024 lean-mole INFO: Received INIT commat at [14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 13.
[2Kclient-31  | 2024-05-27 14:42:48,564 lean-mole INFO: Received START command at [30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
[2Kclient-31  | 2024-05-27 14:42:48,565 lean-mole INFO: Waiting 3.8214237156621325s to send result 13.
[2Kclient-31  | 2024-05-27 14:42:52,389 lean-mole INFO: Sending result 13
[2Kclient-31  | 2024-05-27 14:42:54,582 lean-mole INFO: Received START command at [55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
[2Kclient-31  | 2024-05-27 14:42:54,583 lean-mole INFO: Waiting 6.810023958774107s to send result 27.
[2Kclient-31  | 2024-05-27 14:43:01,400 lean-mole INFO: Sending result 27
[2Kclient-31  | 2024-05-27 14:43:06,621 lean-mole INFO: Received START command at [63,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
[2Kclient-31  | 2024-05-27 14:43:06,623 lean-mole INFO: Waiting 0.11937429647236986s to send result 87.
[2Kclient-31  | 2024-05-27 14:43:06,743 lean-mole INFO: Sending result 87
[2Kclient-31  | 2024-05-27 14:43:12,639 lean-mole INFO: Received START command at [67,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,].
