client-25  | 2024-05-27 14:56:03,720 passionate-tanuki INFO: Received INIT commat at [2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 1.
client-44  | 2024-05-27 14:56:04,087 merciful-ocelot INFO: Received INIT commat at [4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 3.
client-8   | 2024-05-27 14:56:03,922 onyx-earthworm INFO: Received INIT commat at [3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 2.
client-43  | 2024-05-27 14:56:04,519 fast-gibbon INFO: Received INIT commat at [6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 5.
server-1   | 2024-05-27 14:56:03,719 server INFO: Incomming connection from ('172.22.0.3', 55134)
server-1   | 2024-05-27 14:56:03,921 server INFO: Incomming connection from ('172.22.0.4', 38438)
server-1   | 2024-05-27 14:56:04,087 server INFO: Incomming connection from ('172.22.0.5', 42152)
server-1   | 2024-05-27 14:56:04,301 server INFO: Incomming connection from ('172.22.0.6', 34448)
server-1   | 2024-05-27 14:56:04,519 server INFO: Incomming connection from ('172.22.0.7', 52496)
client-3   | 2024-05-27 14:56:04,302 impartial-badger INFO: Received INIT commat at [5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 4.
client-6   | 2024-05-27 14:56:04,902 perfect-worm INFO: Received INIT commat at [7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 6.
server-1   | 2024-05-27 14:56:04,902 server INFO: Incomming connection from ('172.22.0.8', 36430)
client-6   | 2024-05-27 14:56:04,902 perfect-worm INFO: Received INIT commat at [7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 6.
client-13  | 2024-05-27 14:56:05,098 sweet-malkoha INFO: Received INIT commat at [8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 7.
server-1   | 2024-05-27 14:56:05,097 server INFO: Incomming connection from ('172.22.0.9', 57856)
server-1   | 2024-05-27 14:56:05,362 server INFO: Incomming connection from ('172.22.0.10', 49002)
client-18  | 2024-05-27 14:56:05,362 outrageous-polecat INFO: Received INIT commat at [9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]. This client is assinged number 8.
server-1   | 2024-05-27 14:56:05,608 server INFO: Incomming connection from ('172.22.0.11', 57708)
